title,release_date,popularity,vote_average,genre_ids,genre_names,type
The Kelly Clarkson Show,09/09/2019,1478.168,6.28,[10767],Talk,tvshow
Grey's Anatomy,27/03/2005,1420.393,8.235,[18],Drama,tvshow
Sherri,12/09/2022,1326.58,4.2,[10767],Talk,tvshow
Bridgerton,25/12/2020,1301.462,8.1,[18],Drama,tvshow
Four in a Bed,22/11/2010,1148.9,6.875,[10764],Reality,tvshow
Supernatural,13/09/2005,1033.83,8.295,"[18, 9648, 10765]","Drama, Mystery, Sci-Fi & Fantasy",tvshow
Law & Order: Special Victims Unit,20/09/1999,1027.964,7.921,"[80, 18, 9648]","Crime, Drama, Mystery",tvshow
Ready Steady Cook South Africa,18/03/2024,1002.02,2.5,[10764],Reality,tvshow
Britain's Got Talent,09/06/2007,970.397,5.516,[10764],Reality,tvshow
Watch What Happens Live with Andy Cohen,16/07/2009,963.658,4.896,"[10767, 35]","Talk, Comedy",tvshow
Doctor Who,23/11/1963,933.843,7.845,"[18, 10759, 10765]","Action & Adventure, Drama, Sci-Fi & Fantasy",tvshow
Doctor Who,23/11/1963,933.843,7.845,"[18, 10759, 10765]","Drama, Action & Adventure, Sci-Fi & Fantasy",tvshow
Doctor Who,23/11/1963,933.843,7.845,"[18, 10759, 10765]","Action & Adventure, Drama, Sci-Fi & Fantasy",tvshow
Doctor Who,26/03/2005,621.186,7.513,"[10759, 18, 10765]","Action & Adventure, Drama, Sci-Fi & Fantasy",tvshow
Doctor Who,26/03/2005,621.186,7.513,"[10759, 18, 10765]","Drama, Action & Adventure, Sci-Fi & Fantasy",tvshow
Doctor Who,26/03/2005,621.186,7.513,"[10759, 18, 10765]","Action & Adventure, Drama, Sci-Fi & Fantasy",tvshow
Doctor Who,11/05/2024,332.98,6.386,"[10759, 18, 10765]","Action & Adventure, Drama, Sci-Fi & Fantasy",tvshow
Doctor Who,11/05/2024,332.98,6.386,"[10759, 18, 10765]","Drama, Action & Adventure, Sci-Fi & Fantasy",tvshow
Doctor Who,11/05/2024,332.98,6.386,"[10759, 18, 10765]","Action & Adventure, Drama, Sci-Fi & Fantasy",tvshow
NCIS,23/09/2003,923.234,7.633,"[80, 18, 10759]","Crime, Drama, Action & Adventure",tvshow
Deal or No Deal,06/03/2023,905.051,3.0,[10764],Reality,tvshow
Deal or No Deal,06/03/2023,905.051,3.0,[10764],,tvshow
Deal or No Deal,31/10/2005,51.171,5.2,[],Reality,tvshow
Deal or No Deal,31/10/2005,51.171,5.2,[],,tvshow
Deal or No Deal,19/12/2005,38.641,6.6,"[35, 10751]",Reality,tvshow
Deal or No Deal,19/12/2005,38.641,6.6,"[35, 10751]",,tvshow
The Simpsons,17/12/1989,887.658,8.014,"[10751, 16, 35]","Family, Animation, Comedy",tvshow
Young Sheldon,25/09/2017,859.332,8.066,"[35, 10751]","Comedy, Family",tvshow
The Good Doctor,25/09/2017,855.67,8.494,[18],Drama,tvshow
Star Trek: Discovery,24/09/2017,848.922,7.117,"[10765, 10759, 18]","Sci-Fi & Fantasy, Action & Adventure, Drama",tvshow
Game of Thrones,17/04/2011,847.586,8.45,"[10765, 18, 10759]","Sci-Fi & Fantasy, Drama, Action & Adventure",tvshow
Real Time with Bill Maher,21/02/2003,837.952,6.018,"[35, 10767]","Comedy, Talk",tvshow
The Jennifer Hudson Show,12/09/2022,819.31,6.5,[10767],Talk,tvshow
Dexter,01/10/2006,800.035,8.194,"[80, 18, 9648]","Crime, Drama, Mystery",tvshow
Bones,13/09/2005,768.251,8.248,"[80, 18]","Crime, Drama",tvshow
S.W.A.T.,02/11/2017,763.892,8.11,"[80, 10759, 18]","Crime, Action & Adventure, Drama",tvshow
S.W.A.T.,02/11/2017,763.892,8.11,"[80, 10759, 18]","Action & Adventure, Drama",tvshow
Late Night with Seth Meyers,25/02/2014,761.239,5.524,"[10767, 35]","Talk, Comedy",tvshow
Vikings,03/03/2013,739.751,8.091,"[10759, 18, 10768]","Action & Adventure, Drama, War & Politics",tvshow
Family Guy,31/01/1999,736.096,7.33,"[16, 35]","Animation, Comedy",tvshow
Lucifer,25/01/2016,721.577,8.472,"[80, 10765]","Crime, Sci-Fi & Fantasy",tvshow
Chicago Fire,10/10/2012,708.132,8.4,[18],Drama,tvshow
The Flash,07/10/2014,703.876,7.788,"[18, 10765]","Drama, Sci-Fi & Fantasy",tvshow
The Flash,07/10/2014,703.876,7.788,"[18, 10765]","Action & Adventure, Crime, Drama, Sci-Fi & Fantasy",tvshow
The Flash,20/09/1990,112.185,7.425,"[10759, 80, 18, 10765]","Drama, Sci-Fi & Fantasy",tvshow
The Flash,20/09/1990,112.185,7.425,"[10759, 80, 18, 10765]","Action & Adventure, Crime, Drama, Sci-Fi & Fantasy",tvshow
Criminal Minds,22/09/2005,698.655,8.3,"[80, 18, 9648]","Crime, Drama, Mystery",tvshow
The Amazing Race,05/09/2001,695.99,6.863,[10764],Reality,tvshow
The Blacklist,23/09/2013,690.36,7.617,"[18, 80, 9648]","Drama, Crime, Mystery",tvshow
Shameless,09/01/2011,685.603,8.158,"[18, 35]","Drama, Comedy",tvshow
Shameless,09/01/2011,685.603,8.158,"[18, 35]","Comedy, Drama",tvshow
